"id","place_name","state","city","city_tag","phone","category","description","image_url","reviews_count","rating","lat","lng"
1,Taman Mini Indonesia Indah,Daerah Khusus Ibukota Jakarta,Kota Jakarta Timur,jakarta,+62 804 178 9789,Wisata Rekreasi dan Keluarga,"Taman yang memamerkan budaya & alam Indonesia melalui museum, taman, & replika pemandangan terkenal.",https://storage.googleapis.com/travelease-bucket/jakarta/taman_mini_indonesia_indah.jpg,164271,4.6,-6.3020386,"106.8898924"
2,Taman Nasional Kepulauan Seribu,Daerah Khusus Ibukota Jakarta,Kab. Administrasi Kepulauan Seribu,jakarta,-,Wisata Alam,"Penyu, snorkeling & menyelam di taman alam yang tersebar di Kepulauan Seribu.",https://storage.googleapis.com/travelease-bucket/jakarta/taman_nasional_kepulauan_seribu.jpg,555,4.6,-5.7453663,"106.6151821"
3,Pantai Pasir Perawan,Daerah Khusus Ibukota Jakarta,Kab. Administrasi Kepulauan Seribu,jakarta,+62 857-1048-1038,Wisata Pantai,"Di pesisir pantai, terdapat hutan mangrove hijau dan rimbun, serta terdapat budidaya rumput laut masyarakat sekitar dan juga pengembangan beragam biota laut. Letaknya berdekatan dengan Pulau Tidung dan belum berpenghuni, kondisinya masih sangat alami.",https://storage.googleapis.com/travelease-bucket/jakarta/pantai_pasir_perawan.jpg,717,4.8,-5.854806,"106.6225341"
4,Wisata pulau,Daerah Khusus Ibukota Jakarta,Kab. Administrasi Kepulauan Seribu,jakarta,+62 858-8930-2170,Wisata Pulau,"Pantai pulau simpel dengan air jernih, serta kura-kura, bintang laut & satwa laut lain.",https://storage.googleapis.com/travelease-bucket/jakarta/wisata_pulau.jpg,441,4.6,-5.9343153,"106.5875699"
5,Wisata pantai. Pulau pari,Daerah Khusus Ibukota Jakarta,Kab. Administrasi Kepulauan Seribu,jakarta,+62 858-8930-7268,Wisata Pantai,"Pulau ini menawarkan pesona pantai tropis yang memikat dengan pasir putih yang lembut, air laut yang jernih bergradasi biru kehijauan, dan suasana yang tenang, jauh dari hiruk-pikuk kota. Cocok untuk wisatawan yang mencari ketenangan maupun petualangan.",https://storage.googleapis.com/travelease-bucket/jakarta/wisata_pantai._pulau_pari.jpg,862,4.6,-5.8627508,"106.6120577"
6,Taman Suropati,Daerah Khusus Ibukota Jakarta,Kota Jakarta Pusat,jakarta,-,Wisata Alam,"Taman kota yang dibangun tahun 1920 dengan beberapa ukiran & air mancur, jalur paving block & bangku.",https://storage.googleapis.com/travelease-bucket/jakarta/taman_suropati.jpg,21392,4.6,-6.199387,"106.8326333"
7,Masjid Istiqlal,Daerah Khusus Ibukota Jakarta,Kota Jakarta Pusat,jakarta,+62 21 3811708,Tempat Ibadah,Masjid terbesar di Asia Tenggara dengan desain kontemporer.,https://storage.googleapis.com/travelease-bucket/jakarta/masjid_istiqlal.jpg,14200,4.8,-6.17017,"106.83139"
8,Monumen Nasional,Daerah Khusus Ibukota Jakarta,Kota Jakarta Pusat,jakarta,+62 21 3853040,Wisata Budaya dan Sejarah,Tugu terkenal yang dibangun untuk memperingati kemerdekaan Indonesia dari penjajahan Belanda.,https://storage.googleapis.com/travelease-bucket/jakarta/monumen_nasional.jpg,114792,4.6,-6.1753924,"106.8271528"
9,Taman Menteng,Daerah Khusus Ibukota Jakarta,Kota Jakarta Pusat,jakarta,-,Wisata Alam,"Taman publik seluas 30 hektar dengan kebun, arena bermain, lapangan olahraga, & sumur resapan.",https://storage.googleapis.com/travelease-bucket/jakarta/taman_menteng.jpg,20505,4.5,-6.1964087,"106.8293106"
10,Dancing Fountain Show Grand Indonesia,Daerah Khusus Ibukota Jakarta,Kota Jakarta Pusat,jakarta,-,Wisata Rekreasi dan Keluarga,"Dancing Fountain Show di Grand Indonesia, Jakarta, adalah salah satu atraksi hiburan yang memikat pengunjung dengan keindahan pertunjukan air mancur yang diiringi musik, cahaya warna-warni, dan efek visual memukau. Berlokasi di West Mall lantai LG, pertunjukan ini menjadi ikon Grand Indonesia yang sayang untuk dilewatkan, terutama bagi pengunjung yang ingin menikmati momen santai di tengah pusat perbelanjaan premium.",https://storage.googleapis.com/travelease-bucket/jakarta/dancing_fountain_show_grand_indonesia.jpg,40,4.1,-6.1954962,"106.8198019"
